Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Energy_in_Watt_hour_per_kg
SiN,"[{'Si': '1.0', 'N': '1.0'}]",0.0006510151477511414,Anode,0.4319800733462623,0.4872298624754419,0.8999589831831051,0.09266951285642995
CP,"[{'C': '1.0', 'P': '1.0'}]",0.0006654283574996468,Anode,0.01607551539995772,0.4872298624754419,0.8999589831831051,0.09266951285642995
CFC,"[{'C': '2.0', 'F': '1.0'}]",0.0006659932649365983,Cathode,0.07099329957076811,0.4872298624754419,0.8999589831831051,0.09266951285642995
HPC / S-600,"[{'H': '1.0', 'P': '1.0', 'C': '1.0'}]",0.0006816976916838499,Cathode,0.23207014770356343,0.4872298624754419,0.8999589831831051,0.09266951285642995
S @ C,"[{'S': '1.0'}, {'C': '1.0'}]",0.0006829566282576275,Cathode,0.11720236399231611,0.39685658153241643,1.0,0.11306092722430569
SiOâC,"[{'Si': '1.0', 'O': '1.0'}]",0.0006831664510199239,Anode,0.2534398294101967,0.5854616895874263,0.6038375734050961,0.35963911082124034
NP-Si,"[{'N': '1.0', 'P': '1.0'}]",0.0006976442216183665,Anode,0.2812204156288201,0.4872298624754419,0.8999589831831051,0.09266951285642995
CNF,"[{'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0006982091290553182,Anode,0.013892590924548939,0.039292730844793705,0.6908732580357947,0.0013924669819011908
SiO1.1,"[{'Si': '1.0', 'O': '1.1'}]",0.0007089891769736011,Anode,0.18381602772084302,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",0.0007131226853908377,Cathode,0.17416520372429892,0.7819253438113948,0.5998359327324203,0.3295287787379749
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",0.0007151724923763473,Anode,0.13694059688048602,0.8212180746561886,0.8999589831831051,0.2720473938801022
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",0.000783636617055894,Cathode,0.004816220737322952,0.9390962671905696,0.8999589831831051,0.010902766454698627
3Co1 / 3O2,"[{'Co': '0.3333', 'O': '2.0'}]",0.0008051278506758957,Cathode,0.03307934815577349,0.4872298624754419,0.8999589831831051,0.09266951285642995
NaAlH4,"[{'Na': '1.0', 'Al': '1.0', 'H': '4.0'}]",0.0008432773588644627,Anode,0.07581871156904016,0.4872298624754419,0.8999589831831051,0.09266951285642995
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",0.0008448752399004114,Anode,0.160837875348119,0.1728880157170923,0.8999589831831051,0.0684276319365183
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",0.0008770265431691938,Anode,0.29411115910991825,0.11394891944990175,0.5798277293690414,0.09484211098429264
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",0.0008770265431691939,Anode,0.18381602772084302,0.19253438113948915,1.0,0.0869068971139736
N-GP / CPN-S,"[{'C': '1.0', 'P': '1.0', 'N': '1.0'}]",0.0008915043137676364,Cathode,0.15785071553966487,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",0.0009069827775401077,Cathode,0.1357916892618498,0.5068762278978388,0.8999589831831051,0.16697646611228875
Li4.4Si,"[{'Li': '4.4', 'Si': '1.0'}]",0.0009177967199046078,Anode,0.9650732083934594,0.4872298624754419,0.8999589831831051,0.09266951285642995
TiC / C-S,"[{'Ti': '1.0', 'C': '1.0'}]",0.0009380849669974086,Cathode,0.18864143971911507,0.4872298624754419,0.9869946678138037,0.09266951285642995
Carbonate,"[{'C': '1.0', 'O': '3.0'}]",0.0009401831946203714,Anode,0.04337356041875385,0.4872298624754419,0.8999589831831051,0.09266951285642995
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",0.000941393710556696,Anode,0.2015092050478405,0.4872298624754419,0.606838803909603,0.09266951285642995
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",0.0009703008311161285,Cathode,0.14038731973639462,0.09233791748526521,0.9599835932732421,0.03248980922876244
Li2S / CNT / C-N / O,"[{'Li': '2.0', 'S': '1.0'}, {'O': '1.0'}]",0.0009713499449276099,Cathode,0.13257474792966847,0.01178781925343811,0.8999589831831051,0.004963313223544759
Na oxide,"[{'Na': '2.0', 'O': '1.0'}]",0.0009719955534269829,Cathode,0.0034375315949595124,0.4872298624754419,0.8999589831831051,0.09266951285642995
MgF2,"[{'Mg': '1.0', 'F': '2.0'}]",0.0009771927018469367,Anode,0.001139716357687111,0.4872298624754419,0.8999589831831051,0.09266951285642995
P(S-DVB),"[{'S': '1.0', 'P': '1.0'}]",0.0009890234775979496,Cathode,0.18381602772084302,0.4872298624754419,0.8999589831831051,0.09266951285642995
TiO @ C-HS,"[{'Ti': '1.0', 'O': '1.0'}]",0.0010024521343849108,Cathode,0.252750484839015,0.4872298624754419,0.8999589831831051,0.09266951285642995
LiNi0.5Co0.2Mn0.3,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3'}]",0.0010135646706803708,Cathode,0.04594711348449894,0.4872298624754419,0.8999589831831051,0.09266951285642995
SiBCN / GN-ld,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",0.001019350936856003,Anode,0.07972499747240323,0.1728880157170923,0.8999589831831051,0.03389314636665037
NFS,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",0.0010218042491536208,Cathode,0.02009669206518442,0.8801571709233791,0.8999589831831051,0.0427468884178488
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",0.001021965651278464,Cathode,0.22977233246629103,0.14931237721021606,0.8999589831831051,0.08473286591662592
LiNi1â2xCoxMnxO2,"[{'Li': '1.0', 'Ni': '1.0'}]",0.0010309718898447193,Cathode,0.047141977407880585,0.4872298624754419,0.8999589831831051,0.09266951285642995
Zn0.9Ni0.075In0.025,"[{'Zn': '0.9', 'Ni': '0.075', 'In': '0.025'}]",0.0010387429986506113,Anode,0.20679418009356704,0.4872298624754419,0.8999589831831051,0.09266951285642995
ScB2,"[{'Sc': '1.0', 'B': '2.0'}]",0.0010461921102174411,Anode,0.09190341822994696,0.4872298624754419,0.8999589831831051,0.09266951285642995
Si / Sn-Ni / C / Al,"[{'Si': '1.0'}, {'C': '1.0'}, {'Al': '1.0'}]",0.0010542944968845742,Anode,0.008492725116958795,0.4872298624754419,1.0,0.09266951285642995
PCBN,"[{'P': '1.0', 'C': '1.0', 'B': '1.0', 'N': '1.0'}]",0.001065980010723228,Cathode,0.17508432981920788,0.4872298624754419,0.8999589831831051,0.09266951285642995
LNMO / LiPON,"[{'Li': '1.0', 'P': '1.0', 'O': '1.0', 'N': '1.0'}]",0.0010678845557963786,Cathode,0.017890789437402917,0.4872298624754419,0.8999589831831051,0.09266951285642995
Zn0.9Ni0.025In0.075,"[{'Zn': '0.9', 'Ni': '0.025', 'In': '0.075'}]",0.001084038083956007,Anode,0.2653884686440132,0.15324165029469544,0.9799917966366211,0.10038589053752923
TiB2,"[{'Ti': '1.0', 'B': '2.0'}]",0.0010931762687593214,Anode,0.4595538561935311,0.4872298624754419,0.8999589831831051,0.09266951285642995
3Co1 / 3Mn1 / 3O2,"[{'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",0.0011006686247974605,Cathode,0.024623388082611053,0.8998035363457758,0.8999589831831051,0.053548562421870755
LiPS,"[{'Li': '1.0', 'P': '1.0', 'S': '1.0'}]",0.0011010365522391896,Cathode,0.048015147198044096,0.4872298624754419,0.8999589831831051,0.09266951285642995
Mg0.2Co0.2Ni0.2Cu0.2Zn0.2O,"[{'Mg': '0.2', 'Co': '0.2', 'Ni': '0.2', 'Cu': '0.2', 'Zn': '0.2', 'O': '1.0'}]",0.0011042064899711116,Anode,0.11258375536539858,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li @ Cu,"[{'Li': '1.0'}, {'Cu': '1.0'}]",0.0011093003410311657,Anode,0.06892526585722294,0.001964636542239685,0.9329725187326804,0.0009239632588727648
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",0.0011165795768615977,Anode,0.3035322015827351,0.19253438113948915,0.7198851529126943,0.14354040980488073
Co @ C,"[{'Co': '1.0'}, {'C': '1.0'}]",0.0011166925583489882,Anode,0.05330012224377062,0.4872298624754419,0.8999589831831051,0.09266951285642995
Mn0.9Co0.1O / CNT,"[{'Mn': '0.9', 'Co': '0.1', 'O': '1.0'}]",0.001123027591749087,Anode,0.11488157060267097,0.4872298624754419,0.9849938474774658,0.09266951285642995
SiO2 / C / CNTs,"[{'Si': '1.0', 'O': '2.0'}, {'C': '1.0'}]",0.0011352538027059658,Anode,0.08880136765962922,0.4872298624754419,0.8999589831831051,0.013859448883091475
VB2,"[{'V': '1.0', 'B': '2.0'}]",0.0011427993520423895,Anode,0.9329037950716458,0.4872298624754419,0.8199261697295892,0.09266951285642995
Si / CNF,"[{'Si': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0011515069966776847,Anode,0.4595538561935311,0.4872298624754419,0.8999589831831051,0.09266951285642995
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",0.0011771860747402513,Anode,0.2800944861625566,0.742632612966601,1.0,0.001032664818740149
CoO,"[{'Co': '1.0', 'O': '1.0'}]",0.0011810597257364904,Anode,0.1642845982040276,0.11787819253438112,0.7378925359397353,0.04813305070927769
Glycine,"[{'N': '1.0', 'H': '5.0', 'C': '2.0', 'O': '2.0'}]",0.0011832386544218748,Cathode,0.027564591586319725,0.4872298624754419,0.8999589831831051,0.09266951285642995
Ni0.8Co0.1Mn0.1O1.1,"[{'Ni': '0.8', 'Co': '0.1', 'Mn': '0.1', 'O': '1.1'}]",0.0011973355160056873,Anode,0.172326951534481,0.4872298624754419,0.8999589831831051,0.09266951285642995
PNP @ CNTs,"[{'P': '2.0', 'N': '1.0'}]",0.0011975711631079583,Anode,0.028713499204955924,0.5854616895874263,1.0,0.04070873417033535
PCNF,"[{'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0011981360705449098,Anode,0.046360720227207976,0.4872298624754419,0.4397703058253884,0.09266951285642995
S / HPC,"[{'S': '1.0'}, {'H': '1.0', 'P': '1.0', 'C': '1.0'}]",0.0011991529039314225,Cathode,0.31639996691146055,0.4872298624754419,1.0,0.09266951285642995
Mg2Si,"[{'Mg': '2.0', 'Si': '1.0'}]",0.0012095149203463613,Anode,0.20472614638002187,0.5854616895874263,0.6198441360957994,0.29050491874558404
CVO,"[{'C': '1.0', 'V': '1.0', 'O': '1.0'}]",0.0012459353098172488,Anode,0.2391933749391079,0.4872298624754419,0.8999589831831051,0.09266951285642995
LiC6,"[{'Li': '1.0', 'C': '6.0'}]",0.0012468149513976446,Anode,0.04594711348449894,0.2907662082514734,0.7498974579577627,0.03255611718028154
LFS / FSO / C,"[{'F': '1.0', 'S': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.001247815644571673,Cathode,0.016994641494866677,0.4872298624754419,0.8999589831831051,0.09266951285642995
CuO-CF,"[{'Cu': '1.0', 'O': '1.0'}]",0.0012555145259266977,Anode,0.034963556650336854,0.27111984282907653,0.9899958983183106,0.0869068971139736
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",0.0012606793939216828,Anode,0.027334810062592484,0.07072691552062868,0.9699876949549315,0.04777433556171532
Li1.27Cr0.2Mn0.53O2,"[{'Li': '1.27', 'Cr': '0.2', 'Mn': '0.53', 'O': '2.0'}]",0.0012681545719316748,Cathode,0.06432963538267815,0.4872298624754419,0.8999589831831051,0.09266951285642995
Zn0.91Co0.09O,"[{'Zn': '0.91', 'Co': '0.09', 'O': '1.0'}]",0.0012757506401331743,Anode,0.22977233246629103,0.4872298624754419,0.8999589831831051,0.09266951285642995
ZnO,"[{'Zn': '1.0', 'O': '1.0'}]",0.001285115675622956,Anode,0.34558222042482,0.3176817288801571,0.6998769495493152,0.2675741072884396
VO2,"[{'V': '1.0', 'O': '2.0'}]",0.001310302477204751,Anode,0.05398946681495234,0.055009823182711186,0.34973339069018294,0.007609109190716887
MnO / C,"[{'Mn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0013104396690108676,Anode,0.17830127115138925,0.0943025540275049,0.6918736682039637,0.04310016848741781
Li1.23Mn0.46Fe0.15Ni0.15O2,"[{'Li': '1.23', 'Mn': '0.46', 'Fe': '0.15', 'Ni': '0.15', 'O': '2.0'}]",0.0013110591303660164,Cathode,0.058585097289497144,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li1.2Cr0.4Mn0.4O2,"[{'Li': '1.2', 'Cr': '0.4', 'Mn': '0.4', 'O': '2.0'}]",0.0013128865252234922,Cathode,0.03445803729813693,0.4872298624754419,0.8999589831831051,0.09266951285642995
Si / B4C / graphite,"[{'Si': '1.0'}, {'B': '4.0', 'C': '1.0'}]",0.0013167020714547873,Anode,0.1888712212428423,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li1.231Mn0.615Ni0.154O2,"[{'Li': '1.231', 'Mn': '0.615', 'Ni': '0.154', 'O': '2.0'}]",0.0013171980924648555,Cathode,0.041351483009954136,0.9390962671905696,0.8999589831831051,0.09842926245991632
FeSi,"[{'Fe': '1.0', 'Si': '1.0'}]",0.0013262893576704785,Anode,0.11488157060267097,0.4872298624754419,0.8999589831831051,0.09266951285642995
AlF3,"[{'Al': '1.0', 'F': '3.0'}]",0.0013270318074447575,Cathode,0.25711633378983256,0.4459724950884085,0.9809922068047899,0.27849448339583677
Ge @ C,"[{'Ge': '1.0'}, {'C': '1.0'}]",0.0013377650487468359,Anode,0.2674335242051857,0.4872298624754419,0.9899958983183106,0.09266951285642995
Li1.2Ni0.2Mn0.6O2,"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",0.0013440016268507805,Cathode,0.03714648112574564,0.8801571709233791,0.6588601326543884,0.07904233925756836
Li1.2Mn0.6Ni0.1Co0.1O2,"[{'Li': '1.2', 'Mn': '0.6', 'Ni': '0.1', 'Co': '0.1', 'O': '2.0'}]",0.0013443889919504046,Cathode,0.010560758830503957,0.4872298624754419,0.8399343730929681,0.09266951285642995
Si / C @ CNF,"[{'Si': '1.0'}, {'C': '2.0', 'N': '1.0', 'F': '1.0'}]",0.0013453670888269548,Anode,0.34615667423413815,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li1.2Mn0.56Ni0.16Co0.08O2,"[{'Li': '1.2', 'Mn': '0.56', 'Ni': '0.16', 'Co': '0.08', 'O': '2.0'}]",0.001346735778845626,Cathode,0.04022555354369066,0.9390962671905696,0.9169659560419773,0.09130713625740529
Li1.2Ni0.15Mn0.55Co0.1O2,"[{'Li': '1.2', 'Ni': '0.15', 'Mn': '0.55', 'Co': '0.1', 'O': '2.0'}]",0.0013474193168443373,Cathode,0.05330012224377062,0.9390962671905696,0.8499384747746577,0.12099570628838524
Li1.2Mn0.54Ni0.13Co0.13O2,"[{'Li': '1.2', 'Mn': '0.54', 'Ni': '0.13', 'Co': '0.13', 'O': '2.0'}]",0.0013481415913530108,Cathode,0.002518405500050552,0.3398821218074655,0.8609429866245161,0.002038154247513452
Li1.20Mn0.534Ni0.133Co0.133O2,"[{'Li': '1.2', 'Mn': '0.534', 'Ni': '0.133', 'Co': '0.133', 'O': '2.0'}]",0.0013485168512932715,Cathode,0.05410435757681596,0.4872298624754419,0.8329315019157855,0.09266951285642995
Li1.2Ni0.17Co0.10Mn0.53O2,"[{'Li': '1.2', 'Ni': '0.17', 'Co': '0.1', 'Mn': '0.53', 'O': '2.0'}]",0.0013486314468019102,Cathode,0.05054274395904374,0.4872298624754419,0.8999589831831051,0.09266951285642995
K+-doped Li1.2Ni0.2Co0.08Mn0.52O2,"[{'Li': '1.2', 'Ni': '0.2', 'Co': '0.08', 'Mn': '0.52', 'O': '2.0'}]",0.001349160038760772,Cathode,0.06442154799216904,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li1.1V0.9O2,"[{'Li': '1.1', 'V': '0.9', 'O': '2.0'}]",0.0013512961958830727,Anode,0.05743618967086094,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li1.2Ni0.27Mn0.40Co0.13O2,"[{'Li': '1.2', 'Ni': '0.27', 'Mn': '0.4', 'Co': '0.13', 'O': '2.0'}]",0.0013566265010560223,Cathode,0.043649298247226534,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li1.2Mn0.4Co0.4O2,"[{'Li': '1.2', 'Mn': '0.4', 'Co': '0.4', 'O': '2.0'}]",0.0013576723868250068,Cathode,0.044798205865862736,0.8998035363457758,0.8999589831831051,0.09745094842110984
MnP,"[{'Mn': '1.0', 'P': '1.0'}]",0.0013582792588144176,Anode,0.19990073438174982,0.3889980353634577,0.7879130443481828,0.18908636338931467
3Mn0.8Fe0.1Ti0.1O2,"[{'Mn': '0.8', 'Fe': '0.1', 'Ti': '0.1', 'O': '2.0'}]",0.0013648580094230299,Cathode,0.03311611319956985,0.7819253438113948,0.8999589831831051,0.06262731670199469
Li1.17Ni0.25Mn0.58O2,"[{'Li': '1.17', 'Ni': '0.25', 'Mn': '0.58', 'O': '2.0'}]",0.0013702728893093972,Cathode,0.05743618967086094,0.8998035363457758,0.8999589831831051,0.12495244306755802
NiO / C,"[{'Ni': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0013710461668895212,Anode,0.13785972297539498,0.5854616895874263,0.8999589831831051,0.19560845698135773
Ni / Si,"[{'Ni': '1.0'}, {'Si': '1.0'}]",0.0013722566828258459,Anode,0.9409461484020992,0.2907662082514734,0.9459778509188768,0.6676449807054733
BPCNF-900,"[{'B': '1.0', 'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.0013726117675005014,Anode,0.17140782543957206,0.4872298624754419,0.8999589831831051,0.09266951285642995
FeP,"[{'Fe': '1.0', 'P': '1.0'}]",0.0013729184315377035,Anode,0.17570473993327146,0.4872298624754419,1.0,0.09266951285642995
MnO2-280H,"[{'Mn': '1.0', 'O': '2.0'}]",0.00137480683639837,Cathode,0.21024090294947562,0.5854616895874263,0.3797456957352514,0.02277297679221697
MnS-(ZnCo)S / N-C,"[{'Mn': '1.0', 'S': '1.0'}]",0.0013758075295723985,Anode,0.090984292135038,0.5854616895874263,0.8999589831831051,0.12908310234251863
Li1.15(Ni0.36Mn0.64)0.85O2,"[{'Ni': '0.306', 'Mn': '0.544', 'Li': '1.15', 'O': '2.0'}]",0.0013891608115670579,Cathode,0.05054274395904374,0.4872298624754419,0.8199261697295892,0.09266951285642995
FeHCF,"[{'Fe': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",0.0013897526731588583,Cathode,0.011479884925412917,0.4872298624754419,0.8999589831831051,0.09266951285642995
FeS,"[{'Fe': '1.0', 'S': '1.0'}]",0.0013904467022956843,Anode,0.16152721991930072,0.4872298624754419,0.8999589831831051,0.09266951285642995
HCN @ TiN-S,"[{'H': '1.0', 'C': '1.0', 'N': '1.0'}, {'Ti': '1.0', 'N': '1.0'}]",0.0014065062137175912,Cathode,0.2522449654868151,0.4872298624754419,0.9799917966366211,0.09266951285642995
Li1.131Mn0.504Ni0.243Co0.122O2,"[{'Li': '1.131', 'Mn': '0.504', 'Ni': '0.243', 'Co': '0.122', 'O': '2.0'}]",0.0014079284408210727,Cathode,0.0566319543378156,0.4872298624754419,0.8999589831831051,0.09266951285642995
SiO / CNF,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.001409734256214457,Anode,0.160837875348119,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li0.33MnO2,"[{'Li': '0.33', 'Mn': '1.0', 'O': '2.0'}]",0.0014117711510299791,Cathode,0.04594711348449894,0.4872298624754419,0.8999589831831051,0.09266951285642995
Nickel phosphide,"[{'Ni': '1.0', 'P': '1.0'}]",0.0014188857566930712,Anode,0.11488157060267097,0.07465618860510805,0.8999589831831051,0.021685961193543133
CoP,"[{'Co': '1.0', 'P': '1.0'}]",0.0014227594076893098,Anode,0.11488157060267097,0.5854616895874263,0.8999589831831051,0.1629979890211425
Si @ TiN,"[{'Si': '1.0'}, {'Ti': '1.0', 'N': '1.0'}]",0.0014235986987384951,Anode,0.4707671945514205,0.4872298624754419,0.8999589831831051,0.09266951285642995
SiP2,"[{'Si': '1.0', 'P': '2.0'}]",0.0014247930744623353,Anode,0.11281353688912582,0.4872298624754419,0.8999589831831051,0.09266951285642995
NiHCF,"[{'Ni': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",0.0014357199983142258,Cathode,0.013777700162685319,0.6444007858546168,0.8999589831831051,0.021468558073808364
NiS,"[{'Ni': '1.0', 'S': '1.0'}]",0.0014364140274510519,Cathode,0.03514738186931865,0.4872298624754419,0.8999589831831051,0.09266951285642995
Li1.3Nb0.3Mn0.4O2,"[{'Li': '1.3', 'Nb': '0.3', 'Mn': '0.4', 'O': '2.0'}]",0.0014382540116742654,Cathode,0.06892526585722294,0.4872298624754419,0.8999589831831051,0.09266951285642995
LiCrO2Â·Li2MnO3,"[{'Li': '1.0', 'Cr': '1.0', 'O': '2.0'}]",0.0014393354059107153,Cathode,0.03951323082013621,0.5324165029469548,0.8499384747746577,0.050987553671395194
Li2S / CNF,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",0.001439690490585371,Cathode,0.11947720107721578,0.4872298624754419,0.8999589831831051,0.09266951285642995
Se / C,"[{'Se': '1.0'}, {'C': '1.0'}]",0.0014401101361099632,Cathode,0.13785972297539498,0.4872298624754419,0.9499794915915526,0.09266951285642995
CoS @ 1T-MoS2,"[{'Co': '1.0', 'S': '1.0'}]",0.0014402876784472907,Anode,0.2973281004420996,0.4872298624754419,0.8999589831831051,0.09266951285642995
LiCr0.33V0.33Mn0.33O2,"[{'Li': '1.0', 'Cr': '0.33', 'V': '0.33', 'Mn': '0.33', 'O': '2.0'}]",0.0014409964758785399,Cathode,0.04824492872177134,0.4872298624754419,0.8999589831831051,0.09266951285642995
SiVC-2,"[{'Si': '1.0', 'V': '1.0', 'C': '1.0'}]",0.0014410059179028433,Anode,0.20702396161729428,0.4872298624754419,0.8999589831831051,0.09266951285642995
NiOOH,"[{'Ni': '1.0', 'O': '2.0', 'H': '1.0'}]",0.0014516826684612266,Cathode,0.06318072776404195,0.2220039292730844,0.8999589831831051,0.03432251752812653
TiO2 / C,"[{'Ti': '1.0', 'O': '2.0'}, {'C': '1.0'}]",0.001454539486070953,Anode,0.047555584150589615,0.4872298624754419,0.8419351934293061,0.09266951285642995
Orthosilicate,"[{'Si': '1.0', 'O': '4.0'}]",0.0014578482296302403,Cathode,0.0032077500712322723,0.4872298624754419,0.8999589831831051,0.003750203815424752
Ni(OH)2,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",0.0014679520026454297,Cathode,0.06639766909622331,0.01571709233791748,0.8999589831831051,0.0150551660416327
Li2Se,"[{'Li': '2.0', 'Se': '1.0'}]",0.0014702761932431732,Cathode,0.022968961111774922,0.4675834970530451,0.8999589831831051,0.026034023588238493
MnF2,"[{'Mn': '1.0', 'F': '2.0'}]",0.0014716158308793724,Anode,0.12407283155176058,0.4872298624754419,1.0,0.09266951285642995
Co(OH)2,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",0.0014718256536416687,Anode,0.1585400601108466,0.4872298624754419,0.8999589831831051,0.002337083537148758
LiAl0.15Co0.85O2,"[{'Li': '1.0', 'Al': '0.15', 'Co': '0.85', 'O': '2.0'}]",0.0014739456705514852,Cathode,0.036755852535409334,0.4872298624754419,0.8999589831831051,0.09266951285642995
ZnO / C,"[{'Zn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",0.0014789757677722262,Anode,0.149348799161757,0.4872298624754419,0.8999589831831051,0.09266951285642995
LiMn0.95Cr0.05O2,"[{'Li': '1.0', 'Mn': '0.95', 'Cr': '0.05', 'O': '2.0'}]",0.001484445685783165,Cathode,0.03905366777268173,0.4872298624754419,0.8999589831831051,0.09266951285642995
VO2(B),"[{'B': '1.0', 'V': '1.0', 'O': '2.0'}]",0.0014847781741603424,Cathode,0.11488157060267097,0.4872298624754419,0.8999589831831051,0.09266951285642995
